FECHA,N1,N2,N3,N4,N5,N6,COMPLEMENTARIO,REINTEGRO
13/11/2022,,,,,,,,
12/11/2022,,,,,,,,
11/11/2022,1,2,5,9,36,40,27,3
10/11/2022,5,16,20,34,40,46,41,0
9/11/2022,8,13,14,20,23,30,26,6
8/11/2022,1,18,20,21,46,48,33,4
7/11/2022,2,11,27,36,41,47,25,3
6/11/2022,2,10,21,23,28,36,35,8
5/11/2022,13,19,21,30,32,38,6,2
4/11/2022,7,16,18,27,35,48,39,3
3/11/2022,3,6,18,22,39,46,42,3
2/11/2022,8,9,24,27,46,47,30,2
1/11/2022,5,14,23,32,39,46,28,6
31/10/2022,4,27,29,35,45,48,31,4
30/10/2022,5,13,35,38,41,47,4,2
29/10/2022,4,9,12,21,23,24,47,9
28/10/2022,6,17,19,34,38,45,16,7
27/10/2022,3,12,14,20,24,42,7,3
26/10/2022,3,7,18,22,34,46,42,7
25/10/2022,5,12,13,19,32,48,40,0
24/10/2022,14,29,33,35,38,46,40,8
23/10/2022,20,24,28,29,31,44,25,0
22/10/2022,1,8,15,21,39,42,45,9
21/10/2022,8,14,19,28,38,48,49,3
20/10/2022,10,24,30,34,47,48,14,7
19/10/2022,5,9,13,17,37,39,24,0
18/10/2022,12,20,23,29,33,37,34,8
17/10/2022,3,4,7,18,33,37,9,7
16/10/2022,1,9,16,29,30,33,49,0
15/10/2022,17,19,26,35,43,44,48,4
14/10/2022,12,15,26,34,42,46,4,0
13/10/2022,11,15,16,18,22,24,39,6
12/10/2022,6,16,22,28,45,47,3,8
11/10/2022,14,15,23,28,35,43,38,4
10/10/2022,3,35,37,43,45,47,36,1
9/10/2022,1,4,12,14,23,33,43,5
8/10/2022,16,21,23,27,40,47,48,8
7/10/2022,14,16,18,29,39,46,1,0
6/10/2022,11,21,37,42,43,46,16,4
5/10/2022,12,18,28,33,34,46,22,4
4/10/2022,18,21,25,40,42,46,33,5
3/10/2022,7,9,21,31,41,49,48,9
2/10/2022,1,17,18,19,29,35,22,8
1/10/2022,15,18,39,42,45,49,48,7
30/09/2022,2,16,32,44,45,49,36,8
29/09/2022,10,18,20,27,32,43,35,0
28/09/2022,4,7,16,20,27,47,38,1
27/09/2022,14,17,25,31,39,46,7,8
26/09/2022,2,20,23,29,41,47,1,3
25/09/2022,12,14,29,35,37,39,10,7
24/09/2022,9,11,19,27,32,39,35,9
23/09/2022,7,15,18,22,33,37,30,7
22/09/2022,18,26,31,37,40,44,29,0
21/09/2022,3,8,9,20,22,49,41,4
20/09/2022,4,24,26,28,37,46,41,1
19/09/2022,1,5,14,16,22,32,30,6
17/09/2022,8,19,22,34,40,44,31,0
16/09/2022,1,3,11,20,21,31,34,8
15/09/2022,7,16,18,28,37,38,29,5
14/09/2022,9,10,11,13,16,45,23,6
13/09/2022,9,26,38,44,45,46,29,0
12/09/2022,18,19,29,34,36,41,16,9
10/09/2022,4,11,21,28,39,46,35,0
9/09/2022,20,26,27,38,45,49,16,7
8/09/2022,13,14,27,30,33,49,5,1
7/09/2022,1,16,17,20,40,45,4,8
6/09/2022,6,14,25,28,35,42,45,7
5/09/2022,28,30,33,39,47,48,20,1
3/09/2022,2,15,19,33,41,42,7,0
2/09/2022,15,18,22,23,31,44,25,6
1/09/2022,4,19,27,36,40,48,8,8
31/08/2022,1,5,8,25,28,40,22,0
30/08/2022,11,24,29,38,44,45,26,5
29/08/2022,8,18,26,44,48,49,40,8
27/08/2022,10,27,40,41,44,45,43,3
26/08/2022,9,20,33,42,46,48,5,2
25/08/2022,6,19,35,41,43,47,17,8
24/08/2022,3,9,15,28,43,46,38,0
23/08/2022,2,8,17,22,36,47,44,9
22/08/2022,1,12,13,30,32,36,15,5
20/08/2022,25,31,35,45,46,49,14,7
19/08/2022,6,8,15,18,31,45,37,7
18/08/2022,3,4,8,13,27,33,22,4
17/08/2022,1,3,4,19,20,22,16,9
16/08/2022,4,6,13,16,35,39,1,5
15/08/2022,1,3,24,35,45,48,10,3
13/08/2022,10,11,12,14,15,28,17,4
12/08/2022,6,7,8,10,22,48,3,8
11/08/2022,3,12,21,23,34,45,40,6
10/08/2022,4,20,35,39,46,49,16,2
9/08/2022,9,16,19,29,35,36,5,4
8/08/2022,11,12,15,25,27,48,2,7
6/08/2022,17,25,32,34,37,39,14,1
5/08/2022,4,15,37,40,48,49,47,0
4/08/2022,3,4,5,18,20,39,27,3
3/08/2022,2,3,4,17,18,28,45,0
2/08/2022,6,16,30,32,37,39,35,9
1/08/2022,3,4,5,23,25,35,45,7
30/07/2022,8,17,26,33,37,42,25,0
29/07/2022,12,17,22,26,31,37,43,2
28/07/2022,8,14,37,40,42,45,31,1
27/07/2022,3,6,13,14,26,30,16,0
26/07/2022,7,20,25,28,33,42,35,7
25/07/2022,18,28,30,35,42,44,29,7
23/07/2022,2,6,8,20,41,46,29,7
22/07/2022,2,10,11,23,44,47,21,8
21/07/2022,8,15,18,21,25,49,17,2
20/07/2022,1,15,17,25,37,48,18,5
19/07/2022,9,27,34,42,46,49,4,2
18/07/2022,10,20,28,30,46,48,5,9
16/07/2022,14,15,27,35,39,40,24,4
15/07/2022,2,10,22,33,38,46,13,8
14/07/2022,2,20,25,28,30,49,12,8
13/07/2022,21,26,30,41,47,49,22,1
12/07/2022,1,4,5,23,34,36,24,0
11/07/2022,2,5,20,24,31,49,37,0
9/07/2022,4,31,41,43,44,48,32,1
8/07/2022,1,12,23,24,38,42,14,6
7/07/2022,9,13,15,17,35,40,47,0
6/07/2022,15,20,23,33,34,49,13,7
5/07/2022,18,21,29,36,42,46,44,2
4/07/2022,1,10,25,37,45,49,39,5
2/07/2022,2,18,22,31,40,41,28,3
1/07/2022,8,11,13,15,21,31,46,1
30/06/2022,18,22,24,31,36,37,1,8
29/06/2022,11,17,21,30,34,36,41,2
28/06/2022,13,14,17,24,32,41,1,2
27/06/2022,4,23,29,30,44,45,22,2
25/06/2022,3,19,20,22,25,36,46,6
24/06/2022,1,18,20,22,33,41,49,0
23/06/2022,1,11,17,24,28,35,41,0
22/06/2022,1,14,16,27,34,49,2,6
21/06/2022,2,22,28,40,42,49,47,8
20/06/2022,10,21,28,29,36,45,12,8
18/06/2022,9,32,37,43,44,46,28,7
17/06/2022,11,27,29,31,34,35,44,3
16/06/2022,6,11,28,32,33,43,36,4
15/06/2022,2,6,13,24,32,39,31,2
14/06/2022,16,18,20,22,30,33,9,1
13/06/2022,9,20,31,39,42,49,17,7
